id,created_at,room_id,routine_start_time,routine_end_time,employee_id,teacher_initial,course_code,section,date_missed,routine_row_id,booked_class_id,makeup_done
124651,2024-10-16 13:00:07.231638+00,KT-712--A,09:45:00,11:00:00,723400068,SHS,BNS101,43-(I),2024-10-16,,,false
124652,2024-10-16 13:00:07.261792+00,KT-712--A,13:30:00,14:45:00,Required,MSI,BNS101,43-P,2024-10-16,,,false
124653,2024-10-16 13:00:07.29417+00,KT-713,08:30:00,09:45:00,Required,MSI,BNS101,43-N,2024-10-16,,,false
124654,2024-10-16 13:00:07.341002+00,KT-713,12:15:00,13:30:00,710002365,AST,SE113,43-N,2024-10-16,,,false
124655,2024-10-16 13:00:07.376012+00,KT-812,09:45:00,11:00:00,,M4,MAT101,43-O,2024-10-16,,,false
124656,2024-10-16 13:00:07.413272+00,KT-812,13:30:00,14:45:00,721000142,SST,ENG101,43-L,2024-10-16,,,false
124657,2024-10-16 13:00:07.448084+00,KT-813--A,09:45:00,11:00:00,723500159,MJ,SE341,36-A,2024-10-16,,,false
124658,2024-10-16 13:00:07.475871+00,KT-813--A,13:30:00,14:45:00,723500122,AG,SE221,40-C,2024-10-16,,,false
124659,2024-10-16 13:00:07.509851+00,KT-921,08:30:00,09:45:00,721500459,MS,SE222,41-J,2024-10-16,,,false
124660,2024-10-16 13:00:07.544129+00,KT-921,12:15:00,13:30:00,723500152,IAT,SE211,41-K,2024-10-16,,,false
124661,2024-10-16 13:00:07.572329+00,KT-814--A,08:30:00,09:45:00,723500152,IAT,SE215,41-I1,2024-10-16,,,false
124662,2024-10-16 13:00:07.607641+00,KT-814--A,12:15:00,13:30:00,723500126,MBH,SE215,41-C2,2024-10-16,,,false
124663,2024-10-16 13:00:07.648131+00,KT-814--A,16:00:00,17:15:00,723500140,AD,SE224,40-B1,2024-10-16,,,false
124664,2024-10-16 13:00:07.678145+00,KT-814--B,11:00:00,12:15:00,723500137,RT,SE342,34-A,2024-10-16,,,false
124665,2024-10-16 13:00:07.708674+00,KT-814--B,14:45:00,16:00:00,723500161,SR,SE222,41-K,2024-10-16,,,false
124666,2024-10-16 13:00:07.734406+00,KT-611,11:00:00,12:15:00,710003252,DAKM,SE113,43-C,2024-10-16,,,false
124667,2024-10-16 13:00:07.761823+00,KT-611,14:45:00,16:00:00,710003382,MMH,MAT102,42-D,2024-10-16,,,false
124668,2024-10-16 13:00:07.789953+00,KT-612,11:00:00,12:15:00,721000142,SST,ENG101,43-I,2024-10-16,,,false
124669,2024-10-16 13:00:07.876372+00,KT-612,14:45:00,16:00:00,710001009,KBB,SE222,41-A,2024-10-16,,,false
124670,2024-10-16 13:00:07.907897+00,KT-711--A,09:45:00,11:00:00,723500150,MAK,SE226,38-A2,2024-10-16,,,false
124671,2024-10-16 13:00:07.937204+00,KT-711--A,13:30:00,14:45:00,723500159,MJ,SE231,39-D1,2024-10-16,,,false
124672,2024-10-16 13:00:07.964505+00,KT-712--A,11:00:00,12:15:00,710003066,EH,SE321,37-A,2024-10-16,,,false
124673,2024-10-16 13:00:07.993445+00,KT-712--A,14:45:00,16:00:00,710003382,MMH,MAT102,42-F,2024-10-16,,,false
124674,2024-10-16 13:00:08.020281+00,KT-713,09:45:00,11:00:00,,M2,MAT102,42-J,2024-10-16,,,false
124675,2024-10-16 13:00:08.057611+00,KT-713,13:30:00,14:45:00,723500134,UF,BNS101,43-A,2024-10-16,,,false
124676,2024-10-16 13:00:08.090439+00,KT-713,14:45:00,16:00:00,710003368,IS,SE232,40-H,2024-10-16,,,false
124677,2024-10-16 13:00:08.120766+00,KT-712--B,08:30:00,09:45:00,721500394,RHH,SE111,43-M,2024-10-16,,,false
124678,2024-10-16 13:00:08.149646+00,KT-712--B,09:45:00,11:00:00,721500394,RHH,SE111,43-J,2024-10-16,,,false
124679,2024-10-16 13:00:08.282647+00,KT-712--B,11:00:00,12:15:00,723500134,UF,BNS101,43-E,2024-10-16,,,false
124680,2024-10-16 13:00:08.316417+00,KT-712--B,12:15:00,13:30:00,,FAA,GE235,41-B,2024-10-16,,,false
124681,2024-10-16 13:00:08.359401+00,KT-712--B,13:30:00,14:45:00,723500146,MSU,MAT101,43-I,2024-10-16,,,false
124682,2024-10-16 13:00:08.392606+00,KT-712--B,14:45:00,16:00:00,721500461,AAM,SE214,40-G,2024-10-16,,,false
124683,2024-10-16 13:00:08.435416+00,KT-913,08:30:00,09:45:00,710002365,AST,STA101,41-D,2024-10-16,,,false
124684,2024-10-16 13:00:08.473214+00,KT-913,09:45:00,11:00:00,,FAA,GE235,41-A,2024-10-16,,,false
124685,2024-10-16 13:00:08.502878+00,KT-913,11:00:00,12:15:00,710003360,KRA,SE311,39-A,2024-10-16,,,false
124686,2024-10-16 13:00:08.53707+00,KT-913,12:15:00,13:30:00,710003066,EH,SE321,37-D,2024-10-16,,,false
124687,2024-10-16 13:00:08.565712+00,KT-913,13:30:00,14:45:00,723500126,MBH,SE221,40-G,2024-10-16,,,false
124688,2024-10-16 13:00:08.594969+00,KT-913,14:45:00,16:00:00,723500099,SS,SE222,41-G,2024-10-16,,,false
124689,2024-10-16 13:00:08.630052+00,KT-914,08:30:00,09:45:00,710003429,AMN,STA101,41-K,2024-10-16,,,false
124690,2024-10-16 13:00:08.666953+00,KT-914,09:45:00,11:00:00,710003429,AMN,STA101,41-N,2024-10-16,,,false
124691,2024-10-16 13:00:08.702399+00,KT-914,11:00:00,12:15:00,723500141,MSP,SE131,41-K,2024-10-16,,,false
124692,2024-10-16 13:00:08.7385+00,KT-914,12:15:00,13:30:00,Required,MSI,BNS101,43N,2024-10-16,,,false
124693,2024-10-16 13:00:08.771482+00,KT-914,13:30:00,14:45:00,721500463,ST,STA101,41-E,2024-10-16,,,false
124694,2024-10-16 13:00:08.802483+00,KT-914,14:45:00,16:00:00,723400068,SHS,BNS101,43-L,2024-10-16,,,false
124695,2024-10-16 13:00:08.831757+00,KT-701--B,08:30:00,09:45:00,710002801,RM,SE123,42-B,2024-10-16,,,false
124696,2024-10-16 13:00:08.859543+00,KT-701--B,09:45:00,11:00:00,710002801,RM,SE123,42-C,2024-10-16,,,false
124697,2024-10-16 13:00:08.890303+00,KT-701--B,11:00:00,12:15:00,723400068,SHS,BNS101,43-K,2024-10-16,,,false
124698,2024-10-16 13:00:08.922255+00,KT-701--B,12:15:00,13:30:00,723500146,MSU,MAT101,43-K,2024-10-16,,,false
124699,2024-10-16 13:00:08.952157+00,KT-701--B,13:30:00,14:45:00,721000152,SSS,GE324,34-A,2024-10-16,,,false
124700,2024-10-16 13:00:08.989952+00,KT-701--B,14:45:00,16:00:00,723500134,UF,BNS101,43-F,2024-10-16,,,false
124701,2024-10-16 13:00:09.023163+00,KT-701--B,16:00:00,17:15:00,710003037,SH,PHY101,42-F,2024-10-16,,,false
124702,2024-10-16 13:00:09.059425+00,KT-610,08:30:00,09:45:00,710002891,NIR,SE226,39-A1,2024-10-16,,,false
124703,2024-10-16 13:00:09.099772+00,KT-610,09:45:00,11:00:00,,MT,SE112,43-M2,2024-10-16,,,false
124704,2024-10-16 13:00:09.131182+00,KT-610,11:00:00,12:15:00,710003362,MR,SE122,42-F2,2024-10-16,,,false
124705,2024-10-16 13:00:09.15748+00,KT-610,12:15:00,13:30:00,710002799,NT,SE122,42-B1,2024-10-16,,,false
124706,2024-10-16 13:00:09.187286+00,KT-610,13:30:00,14:45:00,721500463,ST,SE112,43-I,2024-10-16,,,false
124707,2024-10-16 13:00:09.217045+00,KT-610,14:45:00,16:00:00,710003067,RMS,SE112,43-E2,2024-10-16,,,false
124708,2024-10-16 13:00:09.262566+00,KT-610,16:00:00,17:15:00,710003346,SCS,SE122,42-H1,2024-10-16,,,false
124709,2024-10-16 13:00:09.292675+00,KT-601,08:30:00,09:45:00,710002084,MSA,DS424,34-A,2024-10-16,,,false
124710,2024-10-16 13:00:09.323226+00,KT-601,09:45:00,11:00:00,710002084,MSA,DS423,34-A,2024-10-16,,,false
124711,2024-10-16 13:00:09.35579+00,KT-601,11:00:00,12:15:00,710002084,MSA,DS423,34-A,2024-10-16,,,false
124712,2024-10-16 13:00:09.384683+00,KT-601,12:15:00,13:30:00,710002844,MHS,SE411,35-A,2024-10-16,,,false
124713,2024-10-16 13:00:09.416761+00,KT-613,08:30:00,09:45:00,710002755,HI,SE532,40-A,2024-10-16,,,false
124714,2024-10-16 13:00:09.445771+00,KT-613,09:45:00,11:00:00,710002755,HI,SE532,40-B,2024-10-16,,,false
124715,2024-10-16 13:00:09.476335+00,KT-613,11:00:00,12:15:00,,MT,SE532,40-E,2024-10-16,,,false
124716,2024-10-16 13:00:09.521892+00,KT-616,08:30:00,09:45:00,723500159,MJ,SE132,41-B2,2024-10-16,,,false
124717,2024-10-16 13:00:09.553328+00,KT-616,09:45:00,11:00:00,710003067,RMS,SE112,43-E1,2024-10-16,,,false
124718,2024-10-16 13:00:09.61044+00,KT-616,11:00:00,12:15:00,710003346,SCS,SE122,42-G2,2024-10-16,,,false
124719,2024-10-16 13:00:09.640353+00,KT-616,12:15:00,13:30:00,710002891,NIR,SE226,39-A2,2024-10-16,,,false
124720,2024-10-16 13:00:09.675664+00,KT-616,13:30:00,14:45:00,710003368,IS,SE223,40-F,2024-10-16,,,false
124721,2024-10-16 13:00:09.707387+00,KT-616,14:45:00,16:00:00,710003346,SCS,SE122,G1,2024-10-16,,,false
124722,2024-10-16 13:00:09.735795+00,KT-616,16:00:00,17:15:00,710003364,SUP,SE122,42-I1,2024-10-16,,,false
124723,2024-10-16 13:00:09.763732+00,KT-1017-B,08:30:00,09:45:00,710003382,MMH,0231-111,B,2024-10-16,,,false
124724,2024-10-16 13:00:09.791721+00,KT-1017-B,12:15:00,13:30:00,723500122,AG,0541-121,A,2024-10-16,,,false
124725,2024-10-16 13:00:09.824559+00,KT-1015,09:45:00,11:00:00,723500096,AA,0211-311,A,2024-10-16,,,false
124726,2024-10-16 13:00:09.85502+00,KT-1015,13:30:00,14:45:00,710002762,KJH,0212-219,B,2024-10-16,,,false
124727,2024-10-16 13:00:09.896149+00,KT-1018,09:45:00,11:00:00,710003229,MK,MCT433,A,2024-10-16,,,false
124728,2024-10-16 13:00:09.940211+00,KT-1019,11:00:00,12:15:00,723500143,SI,0613-122,D,2024-10-16,,,false
124729,2024-10-16 13:00:09.973089+00,KT-1019,14:45:00,16:00:00,710003362,MR,MCT134,A,2024-10-16,,,false
124730,2024-10-16 13:00:10.013584+00,KT-1021,11:00:00,12:15:00,710003382,MMH,0231-121,A,2024-10-16,,,false
124731,2024-10-16 13:00:10.048942+00,KT-1021,14:45:00,16:00:00,,MSH,0213-224,A,2024-10-16,,,false
124732,2024-10-16 13:00:10.084633+00,KT-1016,11:00:00,12:15:00,724000013,GF,0212- 112,B,2024-10-16,,,false
124733,2024-10-16 13:00:10.13175+00,KT-1016,14:45:00,16:00:00,723500146,MSU,MCT334,A,2024-10-16,,,false
124734,2024-10-16 13:00:10.161287+00,KT-1017-B,09:45:00,11:00:00,710000594,KI,MIS575,A,2024-10-16,,,false
124735,2024-10-16 13:00:10.196735+00,KT-1017-B,13:30:00,14:45:00,723500122,AG,0541-121,A,2024-10-16,,,false
124736,2024-10-16 13:00:10.228602+00,KT-1015,11:00:00,12:15:00,710002762,KJH,0212-219,A,2024-10-16,,,false
124737,2024-10-16 13:00:10.266738+00,KT-1015,14:45:00,16:00:00,710002762,KJH,0212-219,B,2024-10-16,,,false
124738,2024-10-16 13:00:10.290335+00,KT-1018,11:00:00,12:15:00,723500143,SI,0212-226,A,2024-10-16,,,false
124739,2024-10-16 13:00:10.327602+00,KT-1019,08:30:00,09:45:00,723500143,SI,0212-128,D,2024-10-16,,,false
124740,2024-10-16 13:00:10.364317+00,KT-1019,12:15:00,13:30:00,723500143,SI,0613-122,B,2024-10-16,,,false
124741,2024-10-16 13:00:10.392371+00,KT-1021,08:30:00,09:45:00,,MSH,0213-224,B,2024-10-16,,,false
124742,2024-10-16 13:00:10.420407+00,KT-1021,12:15:00,13:30:00,724000019,AH,MCT332,A,2024-10-16,,,false
124743,2024-10-16 13:00:10.45398+00,KT-1016,08:30:00,09:45:00,724000013,GF,0212- 112,A,2024-10-16,,,false
124744,2024-10-16 13:00:10.480092+00,KT-1016,12:15:00,13:30:00,724000013,GF,0212- 112,B,2024-10-16,,,false
124745,2024-10-16 13:00:10.508287+00,KT-1017-B,11:00:00,12:15:00,723500124,MAA,0222-111,B,2024-10-16,,,false
124746,2024-10-16 13:00:10.537095+00,KT-1015,08:30:00,09:45:00,723500096,AA,0211-311,A,2024-10-16,,,false
124747,2024-10-16 13:00:10.567057+00,KT-1018,08:30:00,09:45:00,710003229,MK,MCT433,A,2024-10-16,,,false
124748,2024-10-16 13:00:10.603755+00,KT-1018,12:15:00,13:30:00,710003229,MK,MCT311,B,2024-10-16,,,false
124749,2024-10-16 13:00:10.631466+00,KT-1019,09:45:00,11:00:00,723500143,SI,0212-128,D,2024-10-16,,,false
124750,2024-10-16 13:00:10.678678+00,KT-1019,13:30:00,14:45:00,710003362,MR,MCT134,A,2024-10-16,,,false
124751,2024-10-16 13:00:10.708218+00,KT-1021,09:45:00,11:00:00,,MSH,0213-224,B,2024-10-16,,,false
124752,2024-10-16 13:00:10.740794+00,KT-1021,13:30:00,14:45:00,,MSH,0213-224,A,2024-10-16,,,false
124753,2024-10-16 13:00:10.779562+00,KT-1016,09:45:00,11:00:00,724000013,GF,0212- 112,A,2024-10-16,,,false
124754,2024-10-16 13:00:10.811649+00,KT-1016,13:30:00,14:45:00,723500146,MSU,MCT334,A,2024-10-16,,,false
124755,2024-10-16 13:00:11.075146+00,KT-602,08:30:00,09:45:00,710000361,BCD,MATH101,A_10th,2024-10-16,,,false
124756,2024-10-16 13:00:11.105254+00,KT-602,12:15:00,13:30:00,710003414,MA,ITM111,A_10th,2024-10-16,,,false
124757,2024-10-16 13:00:11.143704+00,KT-603,08:30:00,09:45:00,710000361,BCD,ITM315,A_5th,2024-10-16,,,false
124758,2024-10-16 13:00:11.192425+00,KT-609,08:30:00,09:45:00,710003414,MA,ITM214,A_8th,2024-10-16,,,false
124759,2024-10-16 13:00:11.226723+00,KT-609,12:15:00,13:30:00,710002760,NI,AOL101,A_9th,2024-10-16,,,false
124760,2024-10-16 13:00:11.257466+00,KT-602,09:45:00,11:00:00,710002760,NI,ITM102,A_10th,2024-10-16,,,false
124761,2024-10-16 13:00:11.282871+00,KT-602,13:30:00,14:45:00,710003230,DAR,ITM202,A_7th,2024-10-16,,,false
124762,2024-10-16 13:00:11.307813+00,KT-603,09:45:00,11:00:00,710003414,MA,ITM213,A_8th,2024-10-16,,,false
124763,2024-10-16 13:00:11.338535+00,KT-609,09:45:00,11:00:00,,NAS,STA101,A_9th,2024-10-16,,,false
124764,2024-10-16 13:00:11.365942+00,KT-602,11:00:00,12:15:00,710002760,NI,AOL101,A_9th,2024-10-16,,,false
124765,2024-10-16 13:00:11.399602+00,KT-602,14:45:00,16:00:00,710003414,MA,ITM217,A_7th,2024-10-16,,,false
